0,Bulbasaur,45,49,49,65,65,45,3,7
1,Ivysaur,60,62,63,80,80,60,3,7
2,Venusaur,80,82,83,100,100,80,3,7
3,Charmander,39,52,43,60,50,65,1,20
4,Charmeleon,58,64,58,80,65,80,1,20
5,Charizard,78,84,78,109,85,100,1,9
6,Squirtle,44,48,65,50,64,43,2,20
7,Wartortle,59,63,80,65,80,58,2,20
8,Blastoise,79,83,100,85,105,78,2,20
9,Caterpie,45,30,35,20,20,45,11,20
10,Metapod,50,20,55,25,25,30,11,20
11,Butterfree,60,45,50,80,80,70,11,9
12,Weedle,40,35,30,20,20,50,11,7
13,Kakuna,45,25,50,25,25,35,11,7
14,Beedrill,65,80,40,45,80,75,11,7
15,Pidgey,40,45,40,35,35,56,0,9
16,Pidgeotto,63,60,55,50,50,71,0,9
17,Pidgeot,83,80,75,70,70,91,0,9
18,Rattata,30,56,35,25,35,72,0,20
19,Raticate,55,81,60,50,70,97,0,20
20,Spearow,40,60,30,31,31,70,0,9
21,Fearow,65,90,65,61,61,100,0,9
22,Ekans,35,60,44,40,54,55,7,20
23,Arbok,60,85,69,65,79,80,7,20
24,Pikachu,35,55,30,50,40,90,4,20
25,Raichu,60,90,55,90,80,100,4,20
26,Sandshrew,50,75,85,20,30,40,8,20
27,Sandslash,75,100,110,45,55,65,8,20
28,Nidoran♀,55,47,52,40,40,41,7,20
29,Nidorina,70,62,67,55,55,56,7,20
30,Nidoqueen,90,82,87,75,85,76,7,8
31,Nidoran♂,46,57,40,40,40,50,7,20
32,Nidorino,61,72,57,55,55,65,7,20
33,Nidoking,81,92,77,85,75,85,7,8
34,Clefairy,70,45,48,60,65,35,17,20
35,Clefable,95,70,73,85,90,60,17,20
36,Vulpix,38,41,40,50,65,65,1,20
37,Ninetales,73,76,75,81,100,100,1,20
38,Jigglypuff,115,45,20,45,25,20,0,17
39,Wigglytuff,140,70,45,75,50,45,0,17
40,Zubat,40,45,35,30,40,55,7,9
41,Golbat,75,80,70,65,75,90,7,9
42,Oddish,45,50,55,75,65,30,3,7
43,Gloom,60,65,70,85,75,40,3,7
44,Vileplume,75,80,85,100,90,50,3,7
45,Paras,35,70,55,45,55,25,11,3
46,Parasect,60,95,80,60,80,30,11,3
47,Venonat,60,55,50,40,55,45,11,7
48,Venomoth,70,65,60,90,75,90,11,7
49,Diglett,10,55,25,35,45,95,8,20
50,Dugtrio,35,80,50,50,70,120,8,20
51,Meowth,40,45,35,40,40,90,0,20
52,Persian,65,70,60,65,65,115,0,20
53,Psyduck,50,52,48,65,50,55,2,20
54,Golduck,80,82,78,95,80,85,2,20
55,Mankey,40,80,35,35,45,70,6,20
56,Primeape,65,105,60,60,70,95,6,20
57,Growlithe,55,70,45,70,50,60,1,20
58,Arcanine,90,110,80,100,80,95,1,20
59,Poliwag,40,50,40,40,40,90,2,20
60,Poliwhirl,65,65,65,50,50,90,2,20
61,Poliwrath,90,85,95,70,90,70,2,6
62,Abra,25,20,15,105,55,90,10,20
63,Kadabra,40,35,30,120,70,105,10,20
64,Alakazam,55,50,45,135,85,120,10,20
65,Machop,70,80,50,35,35,35,6,20
66,Machoke,80,100,70,50,60,45,6,20
67,Machamp,90,130,80,65,85,55,6,20
68,Bellsprout,50,75,35,70,30,40,3,7
69,Weepinbell,65,90,50,85,45,55,3,7
70,Victreebel,80,105,65,100,60,70,3,7
71,Tentacool,40,40,35,50,100,70,2,7
72,Tentacruel,80,70,65,80,120,100,2,7
73,Geodude,40,80,100,30,30,20,12,8
74,Graveler,55,95,115,45,45,35,12,8
75,Golem,80,110,130,55,65,45,12,8
76,Ponyta,50,85,55,65,65,90,1,20
77,Rapidash,65,100,70,80,80,105,1,20
78,Slowpoke,90,65,65,40,40,15,2,10
79,Slowbro,95,75,110,100,80,30,2,10
80,Magnemite,25,35,70,95,55,45,4,16
81,Magneton,50,60,95,120,70,70,4,16
82,Farfetch'd,52,65,55,58,62,60,0,9
83,Doduo,35,85,45,35,35,75,0,9
84,Dodrio,60,110,70,60,60,100,0,9
85,Seel,65,45,55,45,70,45,2,20
86,Dewgong,90,70,80,70,95,70,2,5
87,Grimer,80,80,50,40,50,25,7,20
88,Muk,105,105,75,65,100,50,7,20
89,Shellder,30,65,100,45,25,40,2,20
90,Cloyster,50,95,180,85,45,70,2,5
91,Gastly,30,35,30,100,35,80,13,7
92,Haunter,45,50,45,115,55,95,13,7
